ID,associatedWithOccupation,contactDetails,description,endDate,function,name,sourceRecordLink,startDate,type,url,warning,workCount
Q7374472,,,Australian voice choir and orchestra,,,Royal Melbourne Philharmonic,https://www.wikidata.org/wiki/Q7374472,1853-01-01,musical group,,,
Q7376416,,,,,,Ruby for Lucy,https://www.wikidata.org/wiki/Q7376416,1/1/2007,musical group,,,
Q7376425,,,Australian rock band,,,Rubycon,https://www.wikidata.org/wiki/Q7376425,1/1/2007,musical group,,,
Q7378794,,,Australian black metal band,,,Ruins,https://www.wikidata.org/wiki/Q7378794,,musical group,,,
Q7380007,,,,,,Running away with the circus,https://www.wikidata.org/wiki/Q7380007,,musical group,,,
Q7380445,,,Australian musical group,,,Rupture,https://www.wikidata.org/wiki/Q7380445,,musical group,,,
Q7382163,,,,,,Russian Winters,https://www.wikidata.org/wiki/Q7382163,,musical group,,,
Q20685699,,,,,,Súnas,https://www.wikidata.org/wiki/Q20685699,,musical group,,,
Q7397074,,,,,,Sacred Cowboys,https://www.wikidata.org/wiki/Q7397074,1/1/1982,musical group,,,
Q2211180,,,Australian extreme metal band,,,Sadistik Exekution,https://www.wikidata.org/wiki/Q2211180,1/1/1986,musical group,,,
Q7398700,,,,,,Saffire,https://www.wikidata.org/wiki/Q7398700,1/1/2002,musical group,,,
Q22908442,,,"Australian electronica, indie pop band formed in Canberra",,,Safia,https://www.wikidata.org/wiki/Q22908442,1/1/2009,musical group,,,
Q7403029,,,,,,Sakkuth,https://www.wikidata.org/wiki/Q7403029,1/1/1998,musical group,,,
Q1280980,,,band,,,Saltwater Band,https://www.wikidata.org/wiki/Q1280980,,musical group,,,
Q253844,,,Australian indie rock band,,,San Cisco,https://www.wikidata.org/wiki/Q253844,1/1/2009,musical group,,,
Q7415844,,,Australian band,,,Sand Pebbles,https://www.wikidata.org/wiki/Q7415844,1/1/2001,musical group,,,
Q7423796,,,Australian post-punk band,,,Sardine v,https://www.wikidata.org/wiki/Q7423796,,musical group,,,
Q493710,,,Australian pop rock duo,,,Savage Garden,https://www.wikidata.org/wiki/Q493710,1/1/1994,musical group,,,
Q17591706,,,,,,Save the Clock Tower,https://www.wikidata.org/wiki/Q17591706,,musical group,,,
